web-scraper-order,web-scraper-start-url,title,availability ,price,datasheet-src,features
"1779654065-1","https://www.rotorama.com/product/happymodel-se0802-19000kv","Happymodel SE0802 19000Kv","In Stock","€ 8,99","/cms/assets/images/be7ca2f7fce8cc1f706000deb3922051/14239-757.jpg","Key Features

                                                            Size: 0802Kv: 19000Shaft: 1mmConfiguration: 9N12PDimensions: Φ10.5mm*14.9mmConector: JST1.25mmWeight: 1.9g"
"1779654066-2","https://www.rotorama.com/product/iflight-xing-e-5215-500kv","iFlight XING-E 5215 500Kv","In Stock","€ 61,59","https://www.rotorama.com/cms/assets/docs/0a50a2440620c15e3002e107f756947f/36377-0/xing-e-5215-500kv.jpg","Key Features

                                                            Size: 5215Kv: 500KvMounting holes: 30mm M4Magnets: N52H-TMotor size: 60.2x65mmWeight: 344.5gCables: 600mm 14AWG"
"1779654068-3","https://www.rotorama.com/product/flashhobby-a5215-350kv","Flashhobby A5215 350Kv","In Stock","€ 53,29","https://www.rotorama.com/cms/assets/docs/e564172d6778612f2a353d9b64192af9/35649-0/b7eb82b1-356b-42d5-b8bd-4cb1e2c77eec.jpg","Key Features

                                                            Size: 5215Kv: 350Configuration: 12N14PDimensions: φ60.8 x 41 mmShaft: 6 mmShaft length: 26 mmMounting holes: 30 mm M4Cable: 60 cm 16AWGWeight: 353 g (including cable)"
"1779654070-4","https://www.rotorama.com/product/flashhobby-a5215-500kv","Flashhobby A5215 500Kv","In Stock","€ 53,29","https://www.rotorama.com/cms/assets/docs/0803142dea279ba6f46b5c5c8ade004f/35648-0/sc82527a86be54f7bb9251524ee286e183.jpg","Key Features

                                                            Size: 5215Kv: 500Configuration: 12N14PDimensions: φ60.8 x 41 mmShaft: 6 mmShaft length: 26 mmMounting holes: 30 mm M4Cable: 60 cm 16AWGWeight: 353 g (including cable)"
"1779654072-5","https://www.rotorama.com/product/rcd-4320-350kv","Readytosky 4320 350Kv","In Stock","€ 48,99","https://www.rotorama.cz/cms/assets/docs/572fea41011e891f365a21e7ce6704fd/27331-0/s719a23f2825a4526b4ef22c2aded3827z.jpg","Key Features

                                                            Size: 4320Kv: 350Configuration: 12N14PDimensions: φ49.5mmx39.8mmShaft: φ6mmShaft length: 26mmMounting holes: 30mm M4Cable: 50cm 16AWGWeight: 260g (including cable)"
"1779654074-6","https://www.rotorama.com/product/readytosky-4320-450kv","Readytosky 4320 450Kv","In Stock","€ 48,79","","Key Features

                                                            Size: 4320Kv: 450Configuration: 12N14PDimensions: φ49.5mmx39.8mmShaft: φ6mmShaft length: 26mmMounting holes: 30mm M4Cable: 50cm 16AWGWeight: 260g (including cable)"
"1779654076-7","https://www.rotorama.com/product/iflight-xing-e-3314-900kv","iFlight XING-E 3314 900Kv","On the way - Jun 22, 2026","€ 44,99","https://www.rotorama.cz/cms/assets/docs/3c63f740ca980ec56df2f9d24779f206/18987-0/d8a58bb7-bdf6-4b01-978c-a6c387f81cb8.jpg","Key Features

                                                            Size: 3314Kv: 900KvMounting holes: 19mm M3Bearings: 11x5x5Magnets: N52H curvedMotor size:φ38.6*29.8mmWeight: 120gCables: 400mm 16AWGConfiguration: 14N14P"
"1779654078-8","https://www.rotorama.com/product/iflight-xing2-2809-1250kv","iFlight XING2 2809 1250Kv","In Stock","€ 44,59","","Key Features

                                                            Size: 2809Kv: 1250Weight: 60.7Dimensions: φ35.33*21.7mmMounting holes: 19mm M3Cables: 260mm 18AWGMagnets: N52H RoundBearings: NSK φ11*φ5*5Configuration: 12N14P"
"1779654081-9","https://www.rotorama.com/product/brotherhobby-avenger-2816-810kv","BrotherHobby Avenger 2816 810Kv","In Stock","€ 40,29","https://www.rotorama.cz/cms/assets/docs/ec312ab54c64d0ab9dd5d0a88465c8d0/27025-0/4529963c7f.jpg","Key Features

                                                            Size: 2816Kv: 810Configuration: 12N14PMounting holes: 19mm M3Shaft: 5mmBearings: NMB 12X6X4mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 18AWG 25cmWeight: 87g (including cable)"
"1779654082-10","https://www.rotorama.com/product/rcinpower-bisonx-3220-738kv","RCinpower Bison 3220 738Kv","In Stock","€ 40,89","https://www.rotorama.cz/cms/assets/docs/4c9655162a7e232dea99ae8c38d78d4f/32142-0/bison-3220-738kv-251124-183135.jpg","Key Features

                                                            Size: 3220Kv: 738KvDimensions: 39.2x36mmAxle: 5mmWeight: 165g including cableConfiguration: 12N14PCables: 35cm 18AWGMounting holes: 19mm M3"
"1779654085-11","https://www.rotorama.com/product/rcinpower-ex-4214-520kv","RCinpower EX4214 520Kv","In Stock","€ 35,29","https://www.rotorama.com/cms/assets/docs/864f8dd3d644f2944c36f547d676c568/32141-0/ex4214-520-251124-183125-1.jpg","Key Features

                                                            Size: 4214Kv: 520Dimensions: 50.3x34.7mmWeight: 222g including cableConfiguration: 12N14PCables: 40cm 16AWGShaft: 6mmMounting holes: 30mm M4"
"1779654087-12","https://www.rotorama.com/product/iflight-xing-e-2809-1250kv","iFlight XING-E 2809 1250Kv","In Stock","€ 34,19","/cms/assets/docs/ffb9ee8b240f58d5d0801d1406ab1d64/16317-0/xing-e-2809-1250kv.jpg","Key Features

                                                            Size: 2809Kv: 1250KvMounting holes: 19mm M3Bearings: 11x5x5Magnets: N52H curvedMotor size: 33.2x23.8mmWeight: 60.4gCables: 260mm 18AWGConfiguration: 12N14P"
"1779654088-13","https://www.rotorama.com/product/brotherhobby-avenger-2812-v3-1115kv","BrotherHobby Avenger 2812 V3 1115Kv","In Stock","€ 34,19","https://www.rotorama.cz/cms/assets/docs/7da24a87aa707026114c7a424e860897/27338-0/9ebb2ed5c8_685581f16a088.jpg","Key Features

                                                            Size: 2812Kv: 1180Configuration: 12N14PMounting holes: 19mm M3Shaft: 5mmBearings: NMB 12X6X4mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 18AWG 25cmWeight: 77g (including cable)"
"1779654090-14","https://www.rotorama.com/product/rcinpower-aos-supernova-2207-1980kv","AOS Supernova 2207 1980Kv","On the way","€ 32,69","/cms/assets/images/a8a65ac9146be6271070fd771415741d/16398-768.jpg","Key Features

                                                            Motor dimensions: 27.6x19.5mmKv: 1980Weight: 31g (2cm cable)Configuration: 12N14PMagnets: N52H ARCMounting holes: 16mm M3Recommended battery: 6S"
"1779654093-15","https://www.rotorama.com/product/iflight-xing-2806-5-1300kv","iFlight Xing 2806.5 1300Kv","In Stock","€ 32,79","","Key Features

                                                            


	Size: 2806,5
	Kv: 1300
	Weight: 54g (with cables)
	Dimension: φ35.06*21.3mm
	Mounting holes: 19mm M3
	Cable: 265mm 18AWG
	Magnets: N52H round
	Configuration: 12N14P
	Bearings: NSK 11x5x45"
"1779654095-16","https://www.rotorama.com/product/geprc-em3115-900kv","GEPRC EM3115 900Kv","In Stock","€ 31,19","https://www.rotorama.cz/cms/assets/docs/fed01c80741bd719a3b6817a10836929/18727-0/3-6_65f4a39a723f1.jpg","Key Features

                                                            
	Size: 3115
	Kv: 900
	Mounting holes: 19mm M3
	Bearings: NSK/NMB
	Magnets: N52H curved
	Motor dimensions: φ37.5mmx30mm
	Weight: 115g
	Cables: 310mm 18AWG
	Configuration: 12N14P
	Shaft: 5mm steel"
"1779654097-17","https://www.rotorama.com/product/brotherhobby-avenger-2810-1180kv","BrotherHobby Avenger 2810 1180Kv","In Stock","€ 29,59","https://www.rotorama.cz/cms/assets/docs/76c69dce85a2bb989d7677d9498f260d/27225-0/5a9e8243e6.jpg","Key Features

                                                            Size: 2810Kv: 1180Configuration: 12N14PMounting holes: 19mm M3Shaft: 5mmBearings: NMB 12X6X4mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 18AWG 25cmWeight: 65g (including cable)"
"1779654099-18","https://www.rotorama.com/product/rcinpower-gts-v4-2207-2040kv","RCinpower GTS V4 2207 2040Kv","In Stock","€ 29,39","https://www.rotorama.cz/cms/assets/images/014a947c7618bbd9340233150a10f35a/13324-2480.jpg","Key Features

                                                            Stator diameter: 22mmStator height: 7mmConfiguration: 12N14PWeight: 32.8gMagnets: N52H ARCShaft: Titanium l shaftBearings: d4*D9*H4 684zz Japan ISCBell material: 7075-T6Winding: 260℃ Class Single oxygen-free copperCables: 20AWG 15cm"
"1779654101-19","https://www.rotorama.com/product/rcinpower-wasp-major-v2-22-6-6-6-2100kv","RCinpower Wasp Major V2 22.6-6.6 2100Kv","In Stock","€ 28,19","https://www.rotorama.cz/cms/assets/docs/fc8884ef8f710631a70ca10e016f9dc8/23815-0/wasp-major-v2-22.6-6.6-2100.jpg","Key Features

                                                            Stator diameter: 22.6mmStator height: 6.6mmConfiguration: 12N14PSize: 27.6x18.1mmWeight: 29.5g (3cm cables), 33g (including cables)Magnets: N52H ARCShaft: Titanium l shaftBearings: d4*D9*H4 684zz Japan ISCBell material: 7075-T6Winding: 260℃ Class Single oxygen-free copperCables: 20AWG 15cm"
"1779654103-20","https://www.rotorama.com/product/rcinpower-wasp-major-v2-22-6-6-6-1980kv","RCinpower Wasp Major V2 22.6-6.6 1980Kv","On the way","€ 28,19","https://www.rotorama.cz/cms/assets/docs/cd2d38578fdc02d4ac281af6c99ad5ab/23814-0/wasp-major-v2-22.6-6.6-1980.jpg","Key Features

                                                            Stator diameter: 22.6mmStator height: 6.6mmConfiguration: 12N14PSize: 27.6x18.1mmWeight: 29.5g (3cm cables), 33g (including cables)Magnets: N52H ARCShaft: Titanium l shaftBearings: d4*D9*H4 684zz Japan ISCBell material: 7075-T6Winding: 260℃ Class Single oxygen-free copperCables: 20AWG 15cm"
"1779654105-21","https://www.rotorama.com/product/brotherhobby-avenger-2806-5-1300k","BrotherHobby Avenger 2806.5 1300Kv","In Stock","€ 27,39","https://www.rotorama.cz/cms/assets/docs/344bf05a9f404b1bb9fd651287c4f383/27336-0/52dec02c22.jpg","Key Features

                                                            Size: 2806.5Kv: 1300Configuration: 12N14PMounting holes: 19mm M3Shaft: 5mmBearings: NMB 12X6X4mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 18AWG 20cmWeight: 41g (including cable)"
"1779654107-22","https://www.rotorama.com/product/geprc-speedx2-2107-5-1960kv","GEPRC SpeedX2 2107.5 1960Kv","In Stock","€ 25,69","","Key Features

                                                            Size: 2107.5Kv: 1960Configuration: 12N14PInner shaft: 4mmExternal shaft with thread: 5mmDimensions: Φ26.83mm*30.85mmMagnets: N52H ARCWeight: 29.5g (3cm cable)Color: Titanium"
"1779654109-23","https://www.rotorama.com/product/geprc-em2812-900kv","GEPRC EM2812 900Kv","In Stock","€ 25,89","https://www.rotorama.cz/cms/assets/docs/5b89d7541ada892d841f1dbe02602e07/18722-0/3-2_65f49e6c59ce9.jpg","Key Features

                                                            Size: 2812Kv: 900Mounting holes: 19mm M3Bearings: NSK/NMBMagnets: N52H curvedMotor dimensions: φ33mmx26.1mmWeight: 76gCables: 260mm 18AWGConfiguration: 12N14PShaft: 5mm steel"
"1779654111-24","https://www.rotorama.com/product/iflight-xing2-2207-1750kv","iFlight XING2 2207 1750Kv","In Stock","€ 24,39","https://www.rotorama.cz/cms/assets/docs/5856e6e8232ab05b8aa3076adc272ef6/30545-0/xing2-2207-1750kv-data2.png","Key Features

                                                            Size: 2207Kv: 1750Configuration: 12N14PMaterial: 7075 alloyBearings: NSK 9x9x4Magnets: N52HMounting holes: M3 16mmWeight: 30,5g (including cable)"
"1779654113-25","https://www.rotorama.com/product/emax-eco-iii-2807-1300kv","Emax Eco III 2807 1300Kv","In Stock","€ 23,29","","Key Features

                                                            Size: 2807Kv: 1300Configuration: 12N14PMounting holes: 19mm M3Shaft: Hardened steelBack: 7075 aluminumMagnets: N52SH ArcOuter shaft diameter: 5mmInner shaft diameter: 5mmSingle wire windingDimensions: φ34.8*34.9mmCables: 200mm 18AWGWeight: 49.6g (without cable)"
"1779654115-26","https://www.rotorama.com/product/deepspace-aether-2207-3-1960kv","DeepSpace Aether 2207.3 1960KV","Out of Stock","€ 21,39","https://www.rotorama.cz/cms/assets/docs/007b4550abc9aa2a3c0dc57915111f21/28751-0/1729912080411-0.jpg","Key Features

                                                            Size: 2207.3Kv: 1960Configuration: 12N14PMounting holes: 16mm M3Shaft: 5mmBearings: NMB Bell and base material: 7075 aluminiumMagnets: N52H ArcCable: 20AWG 15cmWeight: 35.6g (including cable)"
"1779654117-27","https://www.rotorama.com/product/brotherhobby-se-2812-1115kv","BrotherHobby SE 2812 1115KV","In Stock","€ 21,99","https://www.rotorama.cz/cms/assets/docs/15efa939b7f62b3cdbc21b6497bf02b4/27030-0/756e8271be_684be56bc8f2a.jpg","Key Features

                                                            Size: 2812Kv: 1150Configuration: 12N14PMounting holes: 19mm M3Shaft: 5mmBearings: NMB 12X6X4mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 18AWG 25cmWeight: 79g (including cable)"
"1779654119-28","https://www.rotorama.com/product/rcinpower-gts-v3-1804-3450kv","RCinpower GTS V3 1804 3450kv","On the way - May 28, 2026","€ 21,29","https://www.rotorama.cz/cms/assets/docs/61e6cc5192c76e2b4464e148d623757c/23693-0/gts-v3-1804-3450.jpg","Key Features

                                                            Stator diameter: 18mmStator height: 4mmKv: 3450Configuration: 12N14PSize: 22.7x13.2mmWeight: 12g (3cm cable)Magnets: N52H ARCMounting holes: 12mm M2Shaft: 1.5mm"
"1779654121-29","https://www.rotorama.com/product/emax-eco-ii-2807-1300kv","Emax Eco II 2807 1300Kv","On the way - Jun 24, 2026","€ 20,49","https://www.rotorama.cz/cms/assets/images/5a974f98c3310f941fff5284aebb65fa/8392-1080.jpg","Key Features

                                                            Configuration: 12N14PSize: 2807Kv: 1300Cables: 18AWG, 200mmWeight: 47.6gMagnets: N52Steel shaftMounting holes: 19mm M3"
"1779654123-30","https://www.rotorama.com/product/brotherhobby-la-2005-3450kv","BrotherHobby LA 2005 3450Kv","In Stock","€ 20,49","https://www.rotorama.cz/cms/assets/docs/43b34ec4a2e796480f9413d525494761/26961-0/1b1f7780b5.jpg","Key Features

                                                            Size: 2005Kv: 3450Configuration: 12N14PMounting holes: 12mm M2Shaft: 5mmBearings: NMB 7x3x3mmBell and base material: 7075 aluminumMagnets: N52H ArcCable: 24AWG 16cmWeight: 21g (including cable)"
"1779654125-31","https://www.rotorama.com/product/brotherhobby-la-2005-2450kv","BrotherHobby LA 2005 2450Kv","In Stock","€ 20,49","https://www.rotorama.cz/cms/assets/docs/43b34ec4a2e796480f9413d525494761/26961-0/1b1f7780b5.jpg","Key Features

                                                            


	Size: 2005
	Kv: 2450
	Configuration: 12N14P
	Mounting holes: 12mm M2
	Shaft: 5mm
	Bearings: NMB 7x3x3mm
	Bell and base material: 7075 aluminum
	Magnets: N52H Arc
	Cable: 24AWG 16cm
	Weight: 21g (including cable)"
"1779654127-32","https://www.rotorama.com/product/axisflying-c224-2204-5-1900kv","Axisflying C224 2204.5 1900Kv","In Stock","€ 20,49","https://www.rotorama.cz/cms/assets/docs/6b0c34d662b254920e962eeda3ae3d3f/23635-0/1711099640654-0-1.jpg","Key Features

                                                            Stator diameter: 22mmStator height: 4.5mmKv: 1900Configuration: 12N14PSize: Φ26.9*28.8mmMagnets: N52H ARCMounting holes: 12mm M2Shaft: 5mm"
"1779654129-33","https://www.rotorama.com/product/geprc-speedx2-2407e-1750kv","GEPRC SpeedX2 2407E 1750KV","In Stock","€ 20,09","","Key Features

                                                            Size: 2407Kv: 1750Magnets: N52HBearings: NMB/NSKConfiguration: 12N14PDimensions: 34x30mmShaft: 5mmShaft length: 13.5mmMounting holes: 16mm M3Cable: 20AWG 150mmWeight: 39g (including cable)"
"1779654131-34","https://www.rotorama.com/product/iflight-xing-1504-3100kv","iFlight XING 1504 3100Kv","In Stock","€ 19,29","/cms/assets/images/d99694a6c72fd7ddca549d2614fec6b9/13802-2774.png","Key Features

                                                            Size: 1504KV: 3100Weight: 12gDimensions: φ21.6*13.5mmMounting holes: 9mm M2Cables: 160mm 26AWGMagnets: N52H RoundBearings: NSK φ5*φ2*2.5Configuration: 12N14P"
"1779654133-35","https://www.rotorama.com/product/iflight-xing-2205-2300kv","iFlight XING 2205 2300kv","In Stock","€ 18,79","","Key Features

                                                            Size: 2205KV: 2300Configuration: 12N14PPropellers: 3-5""Mounting holes: 12mm M2Magnets: N52HWeight: 13g"
"1779654135-36","https://www.rotorama.com/product/rcinpower-bison-22-5-7-1800kv","RCinpower Bison 22.5-7 1800Kv","In Stock","€ 19,19","/cms/assets/images/81470cc20710696555c52a67186abb74/7507-1000.jpg","Key Features

                                                            Stator width: 22.5mmStator height: 7mmKv: 1800Weight: 33gConfiguration: 12N14PMagnets: N50H ARCShaft: Super Hard Alloy SteelBearings: D4*D11*H4 694zz Japan NMB"
"1779654137-37","https://www.rotorama.com/product/brotherhobby-vy-1507-1550kv","BrotherHobby VY 1507 1550Kv","In Stock","€ 18,49","https://www.rotorama.cz/cms/assets/docs/c53323aafc3c78347bb1f9191d30b978/28853-0/15071500.jpg","Key Features

                                                            Size: 1507Kv: 1550Configuration: 12N14PMounting Holes: 12mm M2Shaft: 5mmBearings: NSK 5x2x2.5mmBell and Base Material: 7075 AluminumMagnets: N52H ArcCable: 24AWG 16cmWeight: 16g (including cable)"
